злочин	-1.25	i
злочинний	-1.33	i
злощасний	-1.0	i
злоякісний	-1.11	i
злякатися	-0.83	f
змагатися	-0.33	i
зменшувальний	-0.11	i
зменшувати	-0.33	i
зменшуватися	-0.33	i
змінюватися	-0.22	i
змістовний	-0.25	i
змітати	-0.67	i
змішувати	-0.33	i
змова	-1.0	a
змовник	-1.0	i
змучений	-1.33	s
змушувати	-0.67	
зневажливий	-1.0	i
знехотя	-0.83	i
зниження	-0.33	i
знижуватися	-0.67	i
зникати	-0.5	i
знищення	-1.0	i
знищувати	-1.33	a
знищуватися	-0.67	i
зніяковілість	-1.0	i
знос	-0.67	i
знущальний	-1.22	i
знущатися	-2.0	a
зобов'язувати	-0.67	i
зомбі	-1.11	f
зомбувати	-1.22	i
зона	-0.33	i
зоряний	-0.33	i
зрада	-1.67	s
зраджувати	-0.67	s
зривати	-1.33	i
зсув	-1.0	i
зубожілий	-1.0	i
зупинка	-0.67	i
іграшковий	-0.33	i
ідіот	-1.33	a
ідіотизм	-1.67	a
ідіотський	-1.83	a
ізолювати	-0.33	i
ізоляція	-0.33	i
ілюзія	-1.0	i
імперіалістичний	-0.22	i
імпульсивний	-0.22	i
інвалід	-0.67	a
інвалідність	-1.33	s
інвестиція	-0.33	i
індиферентний	-0.67	i
іноземець	-0.22	i
інородець	-0.67	i
інстинктивний	-0.11	i
інсульт	-1.33	s
інтелігентський	-0.33	i
інтервенція	-0.67	i
інфантильний	-1.0	i
інфаркт	-1.11	s
інфекція	-1.67	s
інфернальний	-0.67	i
інцест	-1.0	i
інцидент	-1.11	i
іпотечний	-0.4	i
іракський	-0.56	i
іржавий	-1.0	i
іронічний	-0.33	i
іслам	-0.2	i
ісламіст	-0.67	i
ісламістський	-0.67	i
існування	-0.11	i
істеричний	-1.22	i
їдкий	-1.0	i
кавказець	-0.4	i
каліцтво	-1.0	s
калічити	-1.33	a
капіталіст	-1.0	i
карати	-1.0	i
каратися	-0.44	i
картинний	-0.33	i
касаційний	-0.11	i
катаклізм	-1.0	f
каталонський	-0.33	i
катастрофа	-1.0	f
катастрофічний	-1.67	f
катастрофічно	-1.67	f
категоричний	-0.67	i
каторжна	-1.67	i
катувати	-1.2	a
квартал	-0.25	i
кволий	-1.0	i
кепський	-1.33	s
керувати	-0.33	i
кийок	-0.25	i
кислий	-0.67	i
кілер	-1.22	a
кінчений	-1.67	a
кістлявий	-1.33	i
класовий	-0.33	i
клієнтський	-0.11	i
клоун	-0.33	i
клюнути	-0.33	i
колабораціоніст	-0.33	i
коливатися	-0.67	i
колись	-0.67	i
колонізація	-0.25	i
колумніст	-0.22	i
колупатися	-0.33	i
конкістадор	-0.33	i
консалтинговий	-0.33	i
консерватор	-0.22	i
контактувати	-0.2	i
контингент	-0.33	i
контрабанда	-1.22	i
конфіскація	-0.67	i
